symbol,name,price,market_cap,volume_24h,percent_change_24h
BTC,Bitcoin,77780.15852550157,1538503669339.151,34032614708.134525,1.8037634
ETH,Ethereum,3172.649850546215,382060201306.6498,30448345208.601513,6.79071503
USDT,Tether USDt,1.000103624383862,123213747842.66241,89193414978.31891,-0.03122564
SOL,Solana,202.39802724382753,95462213274.97853,3889513146.787304,1.25927647
BNB,BNB,627.9537547128634,90487780503.89539,2204543082.6538825,-0.3891249
USDC,USDC,0.9998400125621831,37056122047.44464,6032422053.076008,0.00662245
DOGE,Dogecoin,0.22747596941315013,33377115965.02948,5439385354.951504,13.82262263
XRP,XRP,0.5743086165507897,32660163031.91747,1570505213.7353554,4.86874762
ADA,Cardano,0.560289006078142,19611791679.20226,1372546711.7274957,29.73387396
TRX,TRON,0.16210105657310248,14008632527.726017,312887946.3282884,1.19264247
